Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2019 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
França, 71 644, 4 848, 9 945, 7 584, 6 167, 4 347, 2 942, 6 683, 7 722, 3 484, 6 120, 5 695, 6 107
Grécia, 1 915,  102,  234,  181,  198,  182,  164,  80,  175,  105,  63,  148,  283
Holanda, 13 944,  952, 1 015,  971,  949,  802,  688, 1 931,  879,  872, 1 612, 1 356, 1 917
Hungria, 2 482,  315,  570,  414,  136,  136,  128,  77,  120,  95,  162,  153,  176
Irlanda, 7 140,  803,  806,  946,  589,  390,  709,  401,  459,  465,  550,  479,  543
Itália, 35 378, 3 266, 3 382, 2 939, 3 367, 1 875, 1 769, 2 178, 5 304, 1 770, 1 902, 2 644, 4 982
Letônia,  509,  33,  87,  61,  49,  29,  21,  12,  18,  30,  52,  60,  57
Lituânia,  760,  58,  78,  101,  69,  59,  36,  43,  46,  47,  55,  95,  73
Luxemburgo,  440,  14,  64,  34,  36,  45,  20,  20,  47,  28,  27,  33,  72
Noruega, 7 111,  451,  606,  549,  714,  349,  575,  731,  425,  507,  652,  763,  789
Polônia, 8 042,  798, 1 233,  963,  559,  402,  378,  365,  467,  691,  507, 1 163,  516
Portugal, 31 677, 2 706, 3 266, 3 494, 3 319, 1 984, 1 706, 1 703, 2 654, 2 466, 1 936, 2 534, 3 909
Reino Unido, 48 217, 3 499, 4 760, 5 305, 4 557, 3 242, 2 840, 3 415, 3 832, 4 008, 4 066, 4 442, 4 251
República Tcheca, 2 773,  260,  370,  422,  216,  110,  120,  103,  97,  115,  236,  479,  245
Romênia, 2 927,  290,  342,  398,  218,  185,  121,  61,  111,  156,  303,  379,  363
Rússia, 9 524,  816, 1 062, 1 340,  767,  562,  385,  275,  325,  475,  789, 1 487, 1 241
Sérvia,  969,  72,  96,  86,  58,  78,  38,  27,  63,  31,  60,  184,  176
Suécia, 7 817,  875, 1 041,  801,  603,  309,  603,  657,  297,  463,  520,  651,  997
Suíça, 13 085, 1 133, 1 213, 1 178, 1 185,  554,  577, 1 495,  797,  912, 1 106, 1 132, 1 803
Turquia, 1 197,  115,  110,  156,  93,  114,  103,  62,  63,  63,  90,  75,  153
Ucrânia, 2 038,  238,  260,  273,  155,  98,  143,  86,  79,  89,  133,  223,  261
Outros países da Europa, 1 649,  158,  139,  281,  90,  96,  66,  89,  75,  92,  199,  175,  189
Oceania, 14 694, 1 788, 1 697, 2 104,  840,  719,  879,  921,  990, 1 402, 1 066,  872, 1 416
